name,position,nationality,age
Ederson,Goalkeeper,Brazil,32
Scott Carson,Goalkeeper,England,40
Stefan Ortega Moreno,Goalkeeper,Germany,33
Max Hudson,Goalkeeper,Wales,18
Spike Brits,Goalkeeper,England,18
Kaden Braithwaite,Defence,England,17
Nico O'Reilly,Midfield,England,20
Farid Alfa-Ruprecht,Offence,Germany,19
Jeremy Doku,Left Winger,Belgium,23
Matheus Nunes,Central Midfield,Portugal,27
Omar Marmoush,Centre-Forward,Egypt,26
Erling Haaland,Centre-Forward,Norway,25
Rúben Dias,Centre-Back,Portugal,28
Nathan Aké,Centre-Back,Netherlands,30
Phil Foden,Right Winger,England,25
Jack Grealish,Left Winger,England,30
Kevin De Bruyne,Attacking Midfield,Belgium,34
John Stones,Centre-Back,England,31
Bernardo Silva,Attacking Midfield,Portugal,31
Rodri,Defensive Midfield,Spain,29
Ilkay Gündogan,Central Midfield,Germany,35
Manuel Akanji,Centre-Back,Switzerland,30
Mateo Kovačić,Central Midfield,Croatia,31
Jahmai Simpson-Pusey,Centre-Back,England,20
Vitor Reis,Centre-Back,Brazil,19
Max Alleyne,Centre-Back,England,20
Abdukodir Khusanov,Centre-Back,Uzbekistan,21
Claudio Echeverri,Attacking Midfield,Argentina,19
Divin Mubama,Centre-Forward,England,21
Rico Lewis,Right-Back,England,21
Oscar Bobb,Right Winger,Norway,22
Christian McFarlane,Left-Back,England,18
James McAtee,Attacking Midfield,England,23
Nico Gonzalez,Central Midfield,Spain,23
Sávio,Right Winger,Brazil,21
Joško Gvardiol,Left-Back,Croatia,23
